#YYYY MM DD HH MM P(mm) PET(mm)
2009  5 11 15  0 0.00000 0.05509
2009  5 11 15 15 0.00000 0.05882
2009  5 11 15 30 0.00000 0.06256
2009  5 11 15 45 0.00000 0.06629
2009  5 11 16  0 0.00000 0.06233
2009  5 11 16 15 0.00000 0.05837
2009  5 11 16 30 0.00000 0.05441
2009  5 11 16 45 0.00000 0.05045
2009  5 11 17  0 0.00000 0.05279
2009  5 11 17 15 0.00000 0.05513
2009  5 11 17 30 0.00000 0.05748
2009  5 11 17 45 0.00000 0.05982
2009  5 11 18  0 0.00000 0.07561
2009  5 11 18 15 0.00000 0.09140
2009  5 11 18 30 0.00000 0.10719
2009  5 11 18 45 0.00000 0.12298
2009  5 11 19  0 0.00000 0.11711
2009  5 11 19 15 0.00000 0.11124
2009  5 11 19 30 0.00000 0.10536
2009  5 11 19 45 0.00000 0.09949
2009  5 11 20  0 0.00000 0.09771
2009  5 11 20 15 0.00000 0.09594
2009  5 11 20 30 0.00000 0.09416
2009  5 11 20 45 0.00000 0.09239
2009  5 11 21  0 0.00000 0.07908
2009  5 11 21 15 0.00000 0.06576
2009  5 11 21 30 0.00000 0.05245
2009  5 11 21 45 0.00000 0.03914
2009  5 11 22  0 0.00000 0.03667
2009  5 11 22 15 0.00000 0.03419
2009  5 11 22 30 0.00000 0.03172
2009  5 11 22 45 0.00000 0.02924
2009  5 11 23  0 0.00000 0.02418
2009  5 11 23 15 0.00000 0.01912
2009  5 11 23 30 0.00000 0.01406
2009  5 11 23 45 0.00000 0.00900
2009  5 12  0  0 0.00000 0.00695
2009  5 12  0 15 0.00000 0.00491
2009  5 12  0 30 0.00000 0.00286
2009  5 12  0 45 0.00000 0.00081
2009  5 12  1  0 0.00000 0.00061
2009  5 12  1 15 0.00000 0.00041
2009  5 12  1 30 0.00000 0.00020
2009  5 12  1 45 0.00000 0.00000
2009  5 12  2  0 0.00000 0.00000
2009  5 12  2 15 0.00000 0.00000
2009  5 12  2 30 0.00000 0.00000
2009  5 12  2 45 0.00000 0.00000
2009  5 12  3  0 0.00000 0.00000
2009  5 12  3 15 0.00000 0.00000
2009  5 12  3 30 0.00000 0.00000
2009  5 12  3 45 0.00000 0.00000
2009  5 12  4  0 0.00000 0.00000
2009  5 12  4 15 0.00000 0.00000
2009  5 12  4 30 0.00000 0.00000
2009  5 12  4 45 0.00000 0.00000
2009  5 12  5  0 0.00000 0.00000
2009  5 12  5 15 0.00000 0.00000
2009  5 12  5 30 0.00000 0.00000
2009  5 12  5 45 0.00000 0.00000
2009  5 12  6  0 0.00000 0.00000
2009  5 12  6 15 0.00000 0.00000
2009  5 12  6 30 0.00000 0.00000
2009  5 12  6 45 0.00000 0.00000
2009  5 12  7  0 0.00000 0.00000
2009  5 12  7 15 0.00000 0.00000
2009  5 12  7 30 0.00000 0.00000
2009  5 12  7 45 0.00000 0.00000
2009  5 12  8  0 0.00000 0.00000
2009  5 12  8 15 0.00000 0.00000
2009  5 12  8 30 0.00000 0.00000
2009  5 12  8 45 0.00000 0.00000
2009  5 12  9  0 0.00000 0.00000
2009  5 12  9 15 0.00000 0.00000
2009  5 12  9 30 0.00000 0.00000
2009  5 12  9 45 0.00000 0.00000
2009  5 12 10  0 0.00000 0.00000
2009  5 12 10 15 0.00000 0.00000
2009  5 12 10 30 0.00000 0.00000
2009  5 12 10 45 0.00000 0.00000
2009  5 12 11  0 0.00000 0.00002
2009  5 12 11 15 0.00000 0.00004
2009  5 12 11 30 0.00000 0.00006
2009  5 12 11 45 0.00000 0.00007
2009  5 12 12  0 0.00000 0.00117
2009  5 12 12 15 0.00000 0.00226
2009  5 12 12 30 0.00000 0.00335
2009  5 12 12 45 0.00000 0.00444
2009  5 12 13  0 0.00000 0.00700
2009  5 12 13 15 0.00000 0.00956
2009  5 12 13 30 0.00000 0.01212
2009  5 12 13 45 0.00000 0.01468
2009  5 12 14  0 0.00000 0.01761
2009  5 12 14 15 0.00000 0.02054
2009  5 12 14 30 0.00000 0.02347
2009  5 12 14 45 0.00000 0.02640
2009  5 12 15  0 0.00000 0.02928
2009  5 12 15 15 0.00000 0.03215
2009  5 12 15 30 0.00000 0.03503
2009  5 12 15 45 0.00000 0.03790
2009  5 12 16  0 0.00000 0.03847
2009  5 12 16 15 0.00000 0.03904
2009  5 12 16 30 0.00000 0.03960
2009  5 12 16 45 0.00000 0.04017
2009  5 12 17  0 0.00000 0.05412
2009  5 12 17 15 0.00000 0.06806
2009  5 12 17 30 0.00000 0.08201
2009  5 12 17 45 0.00000 0.09595
2009  5 12 18  0 0.00000 0.09239
2009  5 12 18 15 0.00000 0.08882
2009  5 12 18 30 0.00000 0.08526
2009  5 12 18 45 0.00000 0.08170
2009  5 12 19  0 0.00000 0.06611
2009  5 12 19 15 0.00000 0.05052
2009  5 12 19 30 0.00000 0.03493
2009  5 12 19 45 0.00000 0.01934
2009  5 12 20  0 0.00000 0.01868
2009  5 12 20 15 0.00000 0.01803
2009  5 12 20 30 0.00000 0.01737
2009  5 12 20 45 0.00000 0.01671
2009  5 12 21  0 0.00000 0.01944
2009  5 12 21 15 0.00000 0.02218
2009  5 12 21 30 0.00000 0.02492
2009  5 12 21 45 0.00000 0.02766
2009  5 12 22  0 0.00000 0.02857
2009  5 12 22 15 0.00000 0.02949
2009  5 12 22 30 0.00000 0.03041
2009  5 12 22 45 0.00000 0.03132
2009  5 12 23  0 0.00000 0.02619
2009  5 12 23 15 0.00000 0.02106
2009  5 12 23 30 0.00000 0.01592
2009  5 12 23 45 0.00000 0.01079
2009  5 13  0  0 0.00000 0.00835
2009  5 13  0 15 0.00000 0.00590
2009  5 13  0 30 0.00000 0.00346
2009  5 13  0 45 0.00000 0.00102
2009  5 13  1  0 0.00000 0.00076
2009  5 13  1 15 0.00000 0.00051
2009  5 13  1 30 0.00000 0.00025
2009  5 13  1 45 0.00000 0.00000
2009  5 13  2  0 0.00000 0.00000
2009  5 13  2 15 0.00000 0.00000
2009  5 13  2 30 0.00000 0.00000
2009  5 13  2 45 0.00000 0.00000
2009  5 13  3  0 0.00000 0.00000
2009  5 13  3 15 0.00000 0.00000
2009  5 13  3 30 0.00000 0.00000
2009  5 13  3 45 0.00000 0.00000
2009  5 13  4  0 0.00000 0.00000
2009  5 13  4 15 0.00000 0.00000
2009  5 13  4 30 0.00000 0.00000
2009  5 13  4 45 0.00000 0.00000
2009  5 13  5  0 0.00000 0.00000
2009  5 13  5 15 0.00000 0.00000
2009  5 13  5 30 0.00000 0.00000
2009  5 13  5 45 0.00000 0.00000
2009  5 13  6  0 0.00000 0.00000
2009  5 13  6 15 0.00000 0.00000
2009  5 13  6 30 0.00000 0.00000
2009  5 13  6 45 0.00000 0.00000
2009  5 13  7  0 0.00000 0.00000
2009  5 13  7 15 0.00000 0.00000
2009  5 13  7 30 0.00000 0.00000
2009  5 13  7 45 0.00000 0.00000
2009  5 13  8  0 0.00000 0.00000
2009  5 13  8 15 0.05660 0.00000
2009  5 13  8 30 0.00000 0.00000
2009  5 13  8 45 0.00000 0.00000
2009  5 13  9  0 0.00000 0.00000
2009  5 13  9 15 0.00000 0.00000
2009  5 13  9 30 0.00000 0.00000
2009  5 13  9 45 0.00000 0.00000
2009  5 13 10  0 0.00000 0.00000
2009  5 13 10 15 0.00000 0.00000
2009  5 13 10 30 0.00000 0.00000
2009  5 13 10 45 0.00000 0.00000
2009  5 13 11  0 0.00000 0.00001
2009  5 13 11 15 0.00000 0.00002
2009  5 13 11 30 0.00000 0.00002
2009  5 13 11 45 0.00000 0.00003
2009  5 13 12  0 0.00000 0.00116
2009  5 13 12 15 0.00000 0.00230
2009  5 13 12 30 0.00000 0.00343
2009  5 13 12 45 0.00000 0.00457
2009  5 13 13  0 0.00000 0.00939
2009  5 13 13 15 0.00000 0.01420
2009  5 13 13 30 0.00000 0.01902
2009  5 13 13 45 0.00000 0.02384
2009  5 13 14  0 0.00000 0.03170
